data_container,transcript,quote or transcriber's summary
E.43    ,"Depends on the job in which they worked. If they succeed in high position so everybody in village will be desirous to them, but if they work in dirty works the society will blame them. ",
E.44    ,19-20 years old young woman can get married here; this age is concerned as high time for building family. Mothers in law send their daughters in law to the medical centers to escape the bad outcomes. ,
E.45    ,Young people decide themselves to whom they will marry.,
E.46    ,"Young people should decide themselves as it is their lives, but do not forget about parents suggestions and their point of views. ",
E.47    ,At 20-21 age. ,
E.48    ,It is high time to give a birth to the first baby. ,
E.49    ,20-21 age when the organism of the young woman is ready to be a mother.,
E.50    ,"No, they do not plan children.",
E.51    ,"We would like to have organizations that will search for talented young people; give support for them, because we have many students here who are talented but they do not have opportunity to implement, develop or to show to the whole Republic. For instance we know one boy who draws wonderful pictures but parents are not happy because they think that he will not able to earn money doing such work.",
E.51    ,We want to open new shops to enlarge the number of working place.,
E.51    ,To build parks for youth. ,
E.51    ,To organize kindergarten and make women’ life easier ,
