data_container,transcript,quote or transcriber's summary,,,
E.29,How can he sit at home and allow his wife to work,quote,,,
E.29,His parents will also take him to task,quote,,,
E.29,People will say he is a good for nothing husband and will ridicule him,quote,,,
E.30,If wife is of a good character and is running her business well then he will be happy for her and encourage her,quote,,,
E.30,Mark will be happy with her success,quote,,,
E.31,Men and women should have same opportunities in education and job,quote,,,
E.31,Men should do what they can and women should do what they can,quote,,,
E.31,We should not look at women condescendingly,quote,,,
E.31,There should be gender equality in marriage too; both boys and girls should be consulted and their opinions valued,quote,,,
E.31,Dowry is fine but one should not become greedy,quote,,,
E.31,After a girl gets married she should regard her husband’s family as her family,quote,,,
E.31,As for the rest (everything else) gender equality is good,quote,,,
E.32,Husband and wife discuss and decide,quote,,,
E.32,But usually the woman takes such decisions since she feeds her family and best knows its consumption needs,quote,,,
E.32,Women take this decision,quote,,,
E.33,David will sell as men do outside work while women work at home,quote,,,
E.34,"Yes, he will let Diana implement these changes provided she has all the technical information",quote,,,
E.34,He will agree to make these changes so long as they have all the technical knowledge,quote,,,
E.35,1 participant voted for Easy,transcriber's summary,,,
E.35,5 participants voted for Neither Easy nor difficult,transcriber's summary,,,
E.35,3 participants voted for Difficult,transcriber's summary,,,
E.36,They will have to reach a compromise by mutual understanding,quote,,,
E.36,If he is an alcoholic then he will ignore his wife and buy his bike,quote,,,
E.36,But it is her father’s money and so she will fight tooth and nail to buy land,quote,,,
E.37,3 participants voted for Very Easy ,transcriber's summary,,,
E.37,5 participants voted for neither Easy nor difficult,transcriber's summary,,,
E.37,1 participant voted for Difficult,transcriber's summary,,,
E.37,Since it is his father’s money therefore the man will buy the bike he wants,quote,,,
E.37,It will not be easy because his wife will resist and he will find it hard to convince her; but in the end he will buy a bike,quote,,,
E.37,He will manage to convince his wife to let him buy bike,quote,,,
E.37,They will each try to impress what they think is essential for the family ,quote,,,
E.38,"Yes, a young woman can walk comfortably alone to the market",quote,,,
E.38,If her character is good then she will have no problem,quote,,,
E.38,She can go if she has a reason for going to the market; but there is no reason to go to the market without any work,quote,,,
E.39,A newly married woman will herself not go alone to the market ,quote,,,
E.39,Her family will also not allow her,quote,,,
E.39,This is primarily because of age old traditions and not because of any security concerns,quote,,,
E.40,It will not be difficult for women to sell in the local market but they will never get permission from their family,quote,,,
E.40,Local market is not that far and they will get reasonable rates too but their family will not let them go,quote,,,
E.40,Only those women who don’t have any men at home go to sell in the local market,quote,,,
E.41,They cannot move around at night,quote,,,
E.41,They can go if they have some work,quote,,,
E.41,"But there is no security concern as such since every man in the community is uncle, grandfather or related in some way",quote,,,
E.41,She can easily move around ,quote,,,
E.42,30%-40% men migrate for work and so it is not difficult,quote,,,
