data_container,transcript,quote or transcriber's summary
E.26,There may be bitter fights over this issue if Ana insists that she be allowed to go,quote
E.27,"Yes, Adam will understand because Ana also has to take care of all the household work",quote
E.27,Given that women only help with harvesting so Adam does not require much help from his wife,quote
E.27,But she will have to help if it is the harvesting season,quote
E.28,People will speak badly of her character for donning the man’s mantle,quote
E.28,People will make fun of her and her husband,quote
E.29,You must be kidding (laughing)!! He is not man enough to stay at home and cook and clean,quote
E.29,It all depends upon the social customs of the village,quote
E.29,What social customs; such a thing is bizarre; they may both work but how can the husband do household chores,quote
E.29,Elders of the village will not be kind towards this man; he will be ridiculed by all,quote
E.30,“pati babuji babuji karke bulayega usko” (Husband will call her “Sir”),quote
E.30,Community will also praise her,quote
E.30,People will say that she if taking care of her family and fulfilling her responsibilities well,quote
E.31,Gender equality means equal treatment of men and women in every field including education and work opportunities,quote
E.31,It means we respect our women,quote
E.31,“Jitna beta ko man samman dete hain utna hee beti ko bhi dena chahiye” ( both sons and daughters should be treated equally),quote
E.31,Women are not given equal property rights but they are given dowry during marriage,quote
E.31,When married women come visiting their parents they are pampered a lot ,quote
E.32,Women cook at home and know how much is needed to feed their family and David will let her take that decision,quote
E.32,But they will surely discuss it and things may become heated if David does not agree with her,quote
E.32,But David will not have problem so long as Diana has some extra produce to sell in market,quote
E.32,Fights are common only in lean financial periods,quote
E.33,Definitely David!,quote
E.33,Women don’t go to the market,quote
E.33,As we said before Diana will find it difficult to sell if she goes to the market; then why should David allow her to go,quote
E.34,“maan ne wala baat hoga to maanege nahin to kyon maanege” (he will agree if it is something reasonable; else why would he),quote
E.34,David will not trust her information and will check it our himself,quote
E.34,If it is a profitable venture then David will agree,quote
E.35,Very Easy  0Easy 0Neither Easy nor difficult 0Difficult 5Very Difficult 3 ,Transcriber’s summary
E.36,This is a patriarchal society and this is “sadiyon ki reet” i.e. handed down in legacy by our forefathers,quote
E.36,Man’s decision is always final; the woman may cry but her husband’s decision will always prevail,quote
E.36,Woman will fight hard and she may even say that it is her father’s money and therefore she can use it as she wants but her husband will abuse her and tell her to “go to hell” and he will buy the bike he wants,quote
E.37,Very Easy  6Easy 2Neither Easy nor difficult 0Difficult 0Very Difficult 0  ,Transcriber’s summary
E.37,It is his father’s money and therefore rightfully his,quote
E.37,Diana will not fight knowing she will never win and have her way,quote
E.38,"No, there are too many bad elements and eve teasing is common",quote
E.38,Her parents will never allow her,quote
E.38,She may go accompanied by a male member from her family,quote
E.39,A woman marries and goes to a different village where she will not know her way around and hence she will not be allowed to go out alone,quote
E.39,Her husband will not let her go out alone,quote
E.39,Even her in laws will forbid her from stepping out,quote
E.39,People will pass comments at her if she goes out,quote
E.39,Older women who have babies do go our alone,quote
E.40,It will be very tough! Women don’t sell in the market and she will be in a man’s domain and therefore laughed at,quote
E.40,How will a woman go when there is no transport facility,quote
E.41,Practically no women move freely on their own in the village   1 2 3 4 5 6 7 8 9 10 Practically all women move freely on their own in the village  Responses 1 0 5 1 1 0 0 0 0 0 ,Transcriber’s summary
E.41,Young women cannot move around alone; but they can in groups,quote
E.41,They are usually accompanied my male members to ward off eve teasers,quote
E.41,Husbands don’t let their new brides go out alone,quote
E.41,Main concern is always of safety,quote
E.41,Older woman has more experience and everybody knows her and she can go out alone,quote
E.42,Young men have migrated from our village in search of better work options and parents usually don’t mind,quote
E.42,Mothers sometimes create a fuss,quote
E.42,But getting jobs is not always easy; so men usually go to places where there are already some people from our village,quote
E.42,It is always better not to go blindly but to first assure that there are jobs available in the place where we plan to migrate,quote
E.43,It is good if someone returns to the village after having worked elsewhere for some time since he will bring new ideas and experience with him which can benefit our village,quote
E.43,Some set up their own shop,quote
E.43,Some just get back to farming,quote
E.44,“zamana kharab hai; ladka ladki ghar se bhaag ke shaadi kar lete hain” (times are such that young men and women elope and get married),quote
E.44,For girls: 18-20 years,quote
E.44,For boys: 24-25 years,quote
E.45,Parents consult us but final decision is theirs,quote
E.45,The boys at least get to see the girls,quote
E.45,We can reject the girl if we don’t like her,quote
E.46,We are ok with the tradition of parents deciding for us as long as they consult us,quote
E.47,Women have their first child by 21,quote
E.48,21 is fine and her body is ready to bear a child,quote
E.48,Government also says so,quote
E.49,21 is the right age,quote
E.50,"No, women don’t have much say",quote
E.50,“aadmi pi kar aata hai aur sex karta hai to bachcha to hoga hee na; patni hai matlab sex zarrori to nahi hai na” ( men come home drunk and have sex making their wives pregnant; having a wife doesn’t necessarily give you the right to have sex whenever you want),quote
E.50,Women should also be allowed to decide when they want to have a baby,quote
E.51,Need more work opportunities in the village,quote
E.51,Population control is essential; we need more family planning education,quote
E.51,We need better schools and colleges here in our village,quote
E.51,A small family is a good family,quote
,,
