data_container,transcript,quote or transcriber's summary
E.27    ,R 8 Women provide on time provision of tea and lunch at the farming lands.,quote
E.27    ,R 4 Store the wheat in drum to protect it from insect.,quote
E.28     ,It is not possible. She can job in school but not in market. We have parda system female are not to do by its own. His men will not give him permission.,quote
E.29    ,We do not have any idea.,quote
E.30    ,R 1 I do not know that why gents do not like that their household items be purchased from women income. However they like to work with them in the farming plots.,quote
E.30    ,R 2 Mark will not use the income of Mary as it’s against his self-esteem.,quote
E.30    ,R 4 No such thing possible here.,quote
E.31    ,"R 2,7 They allow boys o have education but do not allow girls to get it.",quote
E.31    ,"R 1,6 I think there should be no discrimination between boys and girls. ",quote
E.31    ,R 4 They do not ask the girls regarding their marriages. I have been not before my wedding.,quote
E.31    ,"R 5,3 Be treated on equal basis, both gender.",quote
E.31    ,"R 4 It is good to have equality in each thing like education, food etc.",quote
E.31    ,R 2 In dress,quote
E.31    ,R 1 But too much autonomy for girls is not appreciated thing.,quote
E.31    ,"R 7 Have the rights that girls can get education up to higher level.Have the right to get education, give encouragement to girls.",quote
E.32 ,"            R 4 If they have something interested, they have been asked before taking any action.",quote
E.32 ,R 7 Mostly men sell their wives assets and constructed houses on their money. They definitely ask women before selling out of anything.,quote
E.32 ,R 6 Both take decision after mutual decision.,quote
E.32 ,"R 3 Yes men have rights to decide, but not women. Women have been asked if they have their own property, otherwise not.",quote
E.33    ,R 4 Men will sale out because they know the market conditions.,quote
E.33    ,R 6 They know and have knowledge about the price ups and downs.,quote
E.34    ,"R 4 In such case, he will be informed and will decide to allow or not. My responsibility is to tell him about its benefits.",quote
E.34    ,"R 2 If I tell my father about anything, he takes action when he realizes good by himself.",quote
E.34    ,"R 7 Whatever I like, my father will agree with it.",quote
E.34    ,"           R 6 I will not ask for such thing, he will be angry with me.",quote
E.35,Very easy …………………….….…1Easy………………………………..….2Neither easy nor difficult…… 3Difficult ………………………………4Very difficult……………………….5,Transcriber’s summary
E.35,"R 4, R3, R6 If have such position but decision of husband is final. ",quote
E.35,"R 1, R5, R8 Everything according to his vision. ",quote
E.35,"R 2 Whatever my father wants, will be final.",quote
E.35,R 7 He listens to me and takes action according to decision.,quote
E.36    ,Because the final authority rested with the gents.,quote
E.37    ,"R 7 If he takes any action, he informs me in advance.3",quote
E.37    ,"R 3,4 He will never do like this.4",quote
E.37    ,"R 2,1,6 Yes, he takes me into confidence.3",quote
E.37    ,"R5, 8. It will be easy for him. 2",quote
E.38    ,"R 1 We cannot go alone, in case there is need, and then a male member goes along with us.",quote
E.38    ,R 4 With husband or with other relatives.,quote
E.38    ,R 2 With parents or brothers.,quote
E.39   ,No  Same answer as above.,quote
E.40    ,"All, No it is not possible and easy.",quote
E.41    ,Practically no women move freely on their own in the village   1 2 3 4 5 6 7 8 9 10 Practically all women move freely on their own in the village  Responses 2 4 2  ,Transcriber’s summary
E.42    ,R 7 Never women or girls migrated for job.,quote
E.42    ,"R 4 We have no alternative chance, but to work here in our lands.",quote
E.43    ,Not practice here.,quote
E.44    ,R 7  Boys at the age og 18 and girls in the age of 12 and 13 in our village.,quote
E.44    ,R 4  In our village girls get married at the age of 12 and boys in 16.,quote
E.44    ,R.6  If a boy and girl want to get married and their family did not agree then they run away from home.,quote
E.45    ,             R1      Our elder take decision.,quote
E.45    ,R 4 Some men enter into second marriage for kids and some enter into it for merriness.,quote
E.45    ,R 6 Some women also have to take divorce from their husbands and get marries another one.,quote
E.45    ,R 6 In case of death of spouse he go for second marriage.,quote
E.46    ,"R 6 According to Islamic injunctions, girls and boys should be asked for their willingness.",quote
E.46    ,"R 4 In some homes, girls are not asked for marriage willingness.",quote
E.47    ,At the age of 15,quote
E.48    ,"R 7 No, Age limit according to me should be 20 years for marriage to take care of new Baby.",quote
E.49    ,R 7 At the age of 20,quote
E.49    ,R 4 At the age of 18,quote
E.49    ,R 1 23 years,quote
E.50    ,No answer,quote
E.51    ,R 7 Vocational center for girls should be set up.,quote
E.51    ,R 4 Women should be allowed to get education even after marriage.,quote
E.51    ,R 6 Gas facilities should be provided here.,quote
E.51    ,R 2 High schools and colleges for girls should be set up.,quote
E.51    ,R 1 Hospital is must here so that ladies can easily take check up there.,quote
