domain,Gender and social inclusion,,
E_F_E.2,question,"Please imagine a 5-step ladder, where at the bottom, on the first step, stand the individual women of this community with little capacity to make their own decisions about important affairs in their lives. These women have little say about if or where they will work, or about starting or ending a relationship with a man. On the highest step, the fifth, stand those who have great capacity to make important decisions for themselves, including about their working life and whether to start or end a relationship in their personal life. Why?",ASP;NRM_AST;NRM_DEC;NRM_EQ;NRM_INF;NRM_MOB
E_F_E.20,question,And what would happen if women tried to raise and sell on their own [name a major crop or animal associated with the men]?  What difficulties could they face?,GAP;NRM_AST;NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN;NRM_MOB;NRM_STIG
E_F_E.21,question,"How is it decided who farms which plot? In general in this community, are some household members responsible for some farm plots while other household members are responsible for other plots? ",NRM_AST;NRM_DEC;NRM_DIV
E_F_E.22,question,"[If men and women generally have separate plots:] How often do men typically work on their wives? plots? 
  How often do women typically work on their husbands? plots? ",NRM_AST;NRM_DEC;NRM_DIV
E_F_E.23,question,How often do other household members work on women?s plots? And on men?s plots?,NRM_AST;NRM_DEC;NRM_DIV;NRM_EQ;NRM_STIG
E_F_E.24,question,"Generally, if a woman wanted to plant a new crop, would she consult someone first?  If so, who?   
 And would a man consult someone first before planting a new crop?  If so, who?  ",NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN
E_F_E.25,vignette,"Now I?m going to talk about different young couples who live in this village.   Let?s call the first couple [female spouse1] and [male spouse1].  [female spouse1] helps her husband with his crops, and she also has her own home garden.  [male spouse1], however, sells her produce from the garden to a neighbor who works in the market.  Even though [female spouse1] could earn more money if she sold her produce herself, [male spouse1] feels strongly that [female spouse1] belongs at home, and he considers the household and children to be [female spouse1]?s job, and earning money to be his job.      
How do you think [male spouse1] would respond if [female spouse1] asks if she can join a local group of women who grow vegetables like she does?",NRM_DEC;NRM_DIV;NRM_INF;NRM_MOB;NRM_STIG
E_F_E.25.a,vignette,"What is he afraid of, what happens if he lets her [go] out?",
E_F_E.26,vignette,How do you think [male spouse1] would respond if [female spouse1] asks to sell her vegetables herself?,NRM_AST;NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN;NRM_MOB;NRM_STIG
E_F_E.27,vignette,Do you think [male spouse1] will ask [female spouse1] for less help on his plot now that she is busier with her own activities?   ,NRM_DEC;NRM_DIV;NRM_STIG
E_F_E.28,vignette,"Let?s move next to our second couple, and we will call them [female spouse2] and [male spouse2].  [female spouse2] also helps on her husband?s farm, and has her own home garden.  But unlike [female spouse1], [female spouse2] has been working for a long time in the market, selling the produce herself from her garden.  And [male spouse2] helps out around the house and with caring for their children.  [female spouse2] and  [male spouse2] , then, share some of the provider and housework responsibilities in their household. 
What kind of reputation do you think that [female spouse2] has in the village because she is a seller in the market?",NRM_EQ;NRM_MOB;NRM_STIG
