data_container,transcript,quote or transcriber's summary
E.7    ,Many girls learn to work in the paddy field from their parents. They mainly learn this in order to help their family members. They also learn about harvesting and threshing. ,quote
E.7    ,Girls here learn to make drain channels for water irrigation of the lands.,quote
E.7    ,Girls in our village learn more about corn cultivation than that of paddy cultivation. Because every single task related to corn cultivation has to be done by girls. Starting from sowing the corn seeds to threshing those (though that is done by machine)- everything is done by them. They collect corns from the trees. It’s a quite hard job because it requires tolerating scorching sunrays. We usually learn this from our parents. ,quote
E.7    ,They also learn to grow potatoes. ,quote
E.7    ,"The club in our XX gave loan to girls for raising goats. We utilized this money, raised goats, sold them and then repaid the loan. We actually earned a lot of profit because we paid the club only the price of one goat whereas we earned from goats’ off springs too. ",quote
E.8    ,The main reasons why girls here end their education are- Poverty Early Marriage Social prejudices,Transcriber’s summary
E.8    ,"In our village if a girl somehow manages to enroll in a college, neighbors start telling her parents “Your daughter is a grown up now! If you delay any further to marry her off the amount of dowry will be more. Marry her off before she becomes an old lady.” These types of words often influence parents. Then they actually marry their daughter off. ",quote
E.8    ,Girls with relatively dark complexion are treated as a burden here. Everyone thinks that the girl already has a dark skin tone; if she is not married off soon enough nobody will agree to marry her. Plus the amount of dowry will be much more higher. ,quote
E.8    ,"Many girls stop studying due to eve teasing. Eve teasers often harass girls on their way to school/college. They threaten girls saying, “If you don’t marry me, no one will marry you. And I will make sure of that.” Parents get scared due to these threats. They think it’s unsafe for their daughter to continue education. Even we have records of incidents where these offenders forcibly kidnapped the girl. In some cases they take photo from distance, edit and spread that photo via Internet to harm the girl.  These activities reduced to some extent after being reported to a few associations. But needless to say, the harassment has not stopped completely. Even now eve teasers make offensive comments to the passer by girls. If they notice a pretty girl they say, “that thing is good, it’ll do”. And if the girl is not pretty then they say, “that thing is not good enough. “  All these ultimately contribute to early marriage.",quote
E.9,"Two most important reasons are- Poverty: People of our village are in general conscious about education but due to poverty often they are unable to provide proper education to their children. Especially for families with many members face more difficulty.Early marriage: Early marriage happens due to poverty. And this ultimately results in ending education. Besides poverty, prejudices also play a role in early marriage. Parents often marry their daughter off at an early age with the hope of getting a suitable groom.",Transcriber’s summary
E.10    ,(9 out of 10 participants are currently studying. Only 1 of them is married and not involved with education. As a result all 9 participants have special goals after completion of education. We are giving an account of each of their goals.),Transcriber’s summary
E.10    ,After completion of study I plan to take a good job. I have not yet decided what type of job will it be. I will decide that later.,quote
E.10    ,My dream is to become a good nurse after education so that I can take care of people.,quote
E.10    ,I want to be a doctor. That way I’ll be able to ensure treatment for people.,quote
E.10    ,My goal is to become a teacher. I want to share the knowledge I have gained so far with everyone.,quote
E.10    ,I wanted to be a service holder after completion of education but couldn’t do so because I got married.,quote
E.10    ,After I finish studying I want to be a doctor.,quote
E.11    ,,
E.12    ,I believe that girls should be self-dependent after they finish studying. They must take a job. They can also do something that earns them profit like cultivation of vegetables.,quote
E.12    ,"If someone could not continue her studies after class 8 due to poverty, she is yet not eligible for marriage. In that case she should spend her time doing productive works such as vegetable cultivation, raising cattle etc. Then she will be treated as a productive member of the family and not a burden. So her parents won’t insist on getting married at an early age.",quote
E.13   ,"New agricultural practice: Thinking back over the past five years or so, people here tried out a few new technologies associated with wheat production-",Transcriber’s summary
E.13   ,"Wheat, corn, paddy, mustard seeds are sowed with the help of machine. ",Transcriber’s summary
E.13   ,"Threshing of corn, wheat and paddy by machine. ",Transcriber’s summary
E.13   ,Training by RDRS on how to improve the cultivation method of wheat and mung bean with the help of new technology.,Transcriber’s summary
E.13   ,Vermicompost is the product or process of composting using earthworms. It’s been two years since villagers have learned about this method. This organic fertilizer was introduced by MCC (Mission Catholic Church) and RDRS.,Transcriber’s summary
E.13   ,Lime is used in order to make lands more fertile. It is applied a few days before starting the cultivation. It’s new method for us. It’s been 2/3 years since RDRS taught this to us. ,Transcriber’s summary
E.13   ,"Various new seeds are available now. Some new corn seeds are- Kaberi-1, Kiron etc. These are available in the market. ",Transcriber’s summary
E.13   ,We haven’t heard of new seeds of wheat. Because people here cultivate corn more than wheat. ,quote
E.14   ,"Important for females: Threshing of wheat, corn and paddy by machine is the most beneficial one for the women. It’s really difficult to thresh those (especially corns) manually with the help of bare hands.",Transcriber’s summary
E.14   ,Important for females: Vermicompost fertilizer: The females at comparatively lower cost can make this home made fertilizer.,Transcriber’s summary
E.14   ,"Important for males: Sowing wheat, corn, paddy, and mustard seeds with the help of machine. It can take care of 10 workers’ work. Hence the money is also being saved.",Transcriber’s summary
E.14   ,Important for males: Introduction of various new seeds of corn and paddy is useful for the males. These new seeds are more productive. ,Transcriber’s summary
E.15  ,Young women of the village do not have the same opportunities as the young men in this matter. Older ladies are given more chances than younger ones. Young women of the village either engage study or marry at an early age. So they are not involved in the agricultural work much. Even if they do a little farming that is mainly on the lad surrounding their own home just to help their parents. So they are not directly involved.,quote
E.15  ,Young men cannot have the opportunities to try new methods of cultivation because they are busy with studies and don’t have the land either.,quote
E.15  ,"But speaking of men and women, men have advantage over the women in case of having such opportunities. Men are involved with agricultural activities from an early age. They can understand and do it better.",quote
,"Module 2.  Gender norms, livelihoods, and family formation (1 ½ hours)",
E.16   ,Important for women: Sowing seeds and preparing the land at a time with the help of the machine. This was introduced by RDRS b2/3 years ago. This is important because it reduces the workload to a great extent. The seeds are sown in an organized manner. This machine saves both time and energy. ,quote
E.16   ,Training by RDRS on amount of seeds and land is also new. Formerly people did not have clear idea about how many seeds should be sown in how much area of lands. ,quote
E.16   ,Farming the land by Harrow machine. ,quote
E.16   ,Most important wheat innovations for females 10 years ago:,quote
E.16   ,"After preparing the land by cows, they used to spread the seeds with hands. ",quote
E.16   ,Power tiller was available 10 years ago yet maximum villagers did not use it. ,quote
E.17    ,"Bangladesh has become a digital country. Information technology has also improved. This change has affected villages too. People here have learned about the usage of new technology, equipment etc. These have mad life easier than before. These machines and new practices are introduced by some NGOs such as World Vision, MCC, RDRS etc. But in our village machine for corn and wheat cultivation were introduced by RDRS. RDRS has done the maximum to preach new agricultural knowledge and practices. That’s why these changes have been made possible today.",quote
E.18   ,Young people around here follow the custom of women doing certain agricultural activities and men doing others.,quote
E.18   ,"Both men and women may cut the paddy crops but the men bring them home from the field. It’s a very heavy work to do, so women can’t do it.",quote
E.18   ,There is a task in our village called “Muli Pati”. This task requires 10 to 12 men to work simultaneously in the field. They look after the land and prepare treaty on collecting paddy. Males do this only. Because women generally do not work for others’ field. People of the village won’t appreciate it if a woman works for anyone else’s land. Another reason behind that is women are thought to be weak. The landowner won’t allow a woman to work on his land.,quote
E.18   ,Men do not grow vegetables. They think this is women’s’ job because this is easier to do and can be done on lands surrounding the house. But the men sell the produced vegetables on the market. Women can’t go to the market due to social restrictions.,quote
E.19    ,If a young man tries to grow and sell his own crops he can obviously do that. There is no restriction for men. They can go anywhere they want. Moreover men go to the market and it’s the custom.  ,quote
E.20    ,If a young woman tries to raise and sell her own crop she won’t be able to do that. This is because men do not allow women to go to the market. Besides people will strongly criticize her for this action.,quote
E.20    ,"She can sell the crops to a wholesaler but a man must bring the wholesaler home. Since women do not go to the market she wouldn’t know the rate of the crops. The man is required to negotiate and determine the selling price. According to a man’s logic, he is bringing all the necessities home for the woman. So why does she need to go to the market?",quote
E.20    ,And we don’t like to go to the market either. We feel uncomfortable among so many men there. We go there only for buying cosmetics items.,quote
E.21,"In our area farming land, house, pond etc. are not divided among the family members separately. Head of the family owns all these. His children divide these among themselves later when they grow up.",quote
E.21,There is no such thing as who will farm which plot. They do it together with all the members of the family. Both husband and wife decide how the plot should be cultivated.,quote
E.21,But there are a few families in our village who have a lot of plots. They don’t cultivate in all of the lands by themselves. They give some of the lands on lease to other people in exchange of money or half crops.   ,quote
E.22    ,This is not applicable since men and women do not have separate plots.,quote
E.23    ,There are no separate plots for men and women. So the decision is taken according to the need.,quote
E.24    ,If a woman wants to plant a new crop she will consult her husband first. Husband is the head of the family. She can’t do anything without her husband’s consent.,quote
E.24    ,If a man wants to plant a new crop he will consult his wife or children. But in this case he only informs his wife that he is planting a new crop. He doesn’t ask for her suggestions. He knows better than his wife about farming.,quote
,If Nasima asks if she can join a local group of women who grow vegetables like she does then Rafiq won’t allow her. Rafiq doesn’t even allow Nasima to go outside to sell the vegetables let alone joining such group. If she goes there then she will want to improve her work and eventually want to go to the market. So Rafiq won’t allow her so that she cannot improve her works and go outside. (8 respondents agreed to this),quote
E.25    ,(2 respondents think-)Rafiq will allow her to join the group since the group consists of females only who are local.,quote
E.26    ,               Rafiq certainly won’t allow her to do so. He won’t send her wife outside. But if Nasima can manage to convince him that she will sell this at home to a wholesaler then Rafiq might allow her. And if Rafiq is adamant by nature then he will sell the vegetables himself.,quote
E.27    ,I think Rafiq won’t ask for less help from Nasima because her work is not so important to him. He will ask for help for his own plot first.,quote
E.28     ,Mala will have a tarnished reputation. People will call her bigheaded since she has husband in home still she goes to market herself. Being bigheaded means she doesn’t obey her husband and thinks that she is superior.,quote
E.29    ,"Monir won’t have a good reputation either. His friends and other people will demean him by saying, “Go sit at your home wearing bangles.” They will also say, “You are a woman. And your wife is the man. That’s why your wife goes to the market and you do nothing.” This is how they will insult Monir.",quote
E.30    ,If Mala is very successful with her small enterprise Monir will be happy because that would be beneficial for his own family.,quote
E.30    ,If he doesn’t pay any heed to peoples’ word then he will be pleased. He should understand where his welfare lies.,quote
E.31    ,"Gender equality means equal rights of man and woman to express opinions, right to make decisions equally, and being capable of performing any task equally.",quote
E.31    ,We think it’s important to have gender equality because then both man and woman can help each other. If they both consult with one another there will be a better sense of understanding. So it is a good thing.,quote
E.32,Both of them will decide. Fatima will inform her husband how much vegetables are required for their family. Then Faruq will sell the rest.,quote
E.33    ,Faruq would be more likely to sell the vegetables because women do not go to the market in our village. We’ve known since childhood that it’s an inappropriate thing to do. Women feel uncomfortable among so many men in the market. So Faruq will sell the vegetables.,quote
E.34    ,If the new practice yields more profits then Fatima and Faruq will make the changes even at the cost of buying more fertilizers.  This will be profitable for their family.,quote
E.35,Very Easy  0Easy 0Neither easy nor difficult 03Difficult 07Very difficult 0,Transcriber’s summary
E.36    ,"Even though Fatima inherited the money, she cannot buy ay land without her husband’s permission. That would be difficult for her because she will have to go to the registry office and register. She will need her husband’s support there. Moreover the seller won’t sell his land to her without her husband’s consent. He will look for Fatima’s guardian that is her husband Faruq. Otherwise he won’t sell his land.",quote
E.36    ,It doesn’t matter from where she got the money. After marriage she has to stay with her husband and listen to him. That’s why we think that would be a difficult thing to do.,quote
E.37    ,Very Easy  01Easy 09Neither easy nor difficult 0Difficult 0Very difficult 0,Transcriber’s summary
E.37    ,Men can do whatever they want to do. A man has more power and influence on a family. Since it’s Faruq’s inherited money he can spend it any way he wants to. Whether Fatima gives her consent or not Faruq can buy a motorbike.,quote
E.38    ,No a young woman cannot walk alone in the local market. She will feel uncomfortable among so many men there. Boys often eve tease and make indecent gestures.,quote
E.38    ,"If she gets sexually harassed in the market she will be held responsible not the offender. There is a local saying regarding this- “ If a small fish doesn’t shimmer, heron won’t eat it. A heron will catch a shimmering fish.” (Here small fishes indicate girls and Herons indicate men) So no matter what the girls will be blamed for everything.",quote
E.39   ,After marriage a woman face more restriction. Before marriage we woman can at least go to buy cosmetics together with friends. But after getting married it’s impossible to go anywhere without her in laws’ consent. Her husband’s family thinks that daughter in law should stay at home. She doesn’t need to go outside. They will call her shameless if she does so.,quote
E.39   ,"Even talking to her cousins will be frowned upon. This might even lead to divorce. Her husband will say, “What kind of brother is this who doesn’t come to home and talks to you on road?”",quote
E.40    ,"A woman can’t even go to a local market let alone selling things. In our village only men go to market. If a woman goes there she might face many difficulties including sexual harassment, eve teasing etc. So neither parents nor husband allows a woman to go to the local market.",quote
E.41    ,Practically no women move freely on their own in the village   1 2 3 4 5 6 7 8 9 10Responses 0 6 0 0 1 3 0 0 0 0,Transcriber’s summary
E.41    ,(Out of 10 respondents 6 voted for number 2. That means practically no women move freely on their own in the village),Transcriber’s summary
E.41    ,Reason: If a girl goes out by herself she will face many difficulties. People will severely criticize her and her family. She might even get raped.,quote
E.41    ,"That’s why girls do not want to go out alone. They are concerned about what people might say. While going to school, some boys wink at the girls, eve tease them, throw papers at them and harass them. If a girl has nice figure they pass remarks such as “ That thing is good. It will feel great to marry her”. They loudly sing indecent songs aiming the girls. Even guys with terrible voice sing loudly. Mainly due to these reasons parents do not want to send their daughters alone outside.",quote
E.42    ,It will not be easy for a girl to do so because her guardians wouldn’t allow her. They fear that their daughter might not match with the different lifestyle there since she was brought up in village since childhood. Bad company might influence her badly.,quote
E.42    ,If someone reliable goes with her then it would be easier.,quote
E.42    ,"Many poor girls from our village go to city for working in garments factory. They don’t have any other option to support themselves and their family. Some women have gone to countries like XX, XX, XX to work in garments or house.",quote
E.43    ,If an unmarried young woman returns to live in the village then people make lot of remarks about the girl. They say that she must have had an illegal affair with a man in XX. Some women marry after going to XX. Their families accept them because after all they’re all family members.,quote
E.43    ,Many girls of our village get married at an early age and they go to XX with their husband. Many divorcees also go to the city to work. They come to village only for vacation.,quote
E.43    ,If a girl goes to XX before her marriage and then comes back to the village then people speak ill of her. Fearing that parents often do not want to send their unmarried daughters to XX. But people do not criticize widows or married women much if they return to the village.,quote
E.44    ,Women get married at an early age in our village. Most of them are married off at the age of 16/17. Some of them get married at the age of 14/15.,quote
E.44    ,Men get married at the age of 20 or 22. If someone is divorced he can marry again. Polygamy is not prevalent anymore.,quote
E.45    ,A girl cannot marry according to her will. She marries the person her family chooses for her. Girl’s father looks for a matchmaker who finds her suitors. Father himself may look for suitor as well.,quote
E.45    ,Family or a matchmaker takes decisions about a man’s marriage.,quote
E.46    ,We think decisions should be made after talking to the person who is going to marry. Parents should ask their child whether she/he wants to marry. Whether she likes the boy or his family. Marriage is a huge decision that is applicable for lifetime. It won’t sustain if done without consent.,quote
E.47    ,In our village generally within one year of marriage women have their first child. That means if a woman gets married at 16 she will have her first child at the age of 17. Because after marrying their sons parents want to have grandchildren. If a woman is not capable of having child within 2-3 years of marriage then people call her infertile woman. So women try to have their first child as early as possible.  ,quote
E.48    ,We think this is not a good age for the new mother and baby. This might harm the mother. She might even die at the time of delivery. The baby suffers from malnutrition too.,quote
E.49    ,We think it’s best to have child at the age of 20. Then it won’t affect mother and child’s health. The baby won’t suffer from malnutrition either.,quote
E.50    ,In our village women don’t have a say on this. They need to ask their husbands. Husband often threatens his wife that he will divorce her if it’s not a male child. They keep on having children with the hope of getting a male child.  ,quote
E.51    ,"We would like to see a society free of early marriage, dowry system, domestic violence, eve teasing etc. Girls should be able to safely walk here without being harassed.",quote
E.51    ,Girls have the right to express their opinions too. We want such an environment where both genders will be able to share views.,quote
E.51    ,Alleviation of poverty is another important change that we would like to see in our village. Both government and non-government sectors should take steps so that nobody has to stop receiving education because of poverty.,quote
E.51    ,We don’t have any library in our village. We want a library here so that we can read a lot of books there.,quote
E.51    ,There should be a club where we can share our thoughts and views.,quote
E.51    ,Besides regular studies young men and women should have employment opportunities so that they can support their education themselves.,quote
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
