data_container,transcript,quote or transcriber's summary
,Focus Group:  Activity E: Aspirations of youth,
,"Case-3, XX",
, ROSTER,
E.1,5 04 023 072 011 010 respondents cast total 10 votes. Most of them(07) voted for third step of the ladder. Which indicates females of this village Power & freedom to make some major life decisions.,Transcriber’s summary
E.2    ,I think maximum women of my village are at the third step because they have the option to go for education. As a result they have become more conscious about their rights. They are allowed to decide a few major things about their life even though they can’t decide all of them. For instance they can decide whether they will receive education or not. Though here girls are married off at a younger age due to poverty yet girls from solvent families may continue their studies.,quote
E.2    ,"But girls cannot express their opinions about whom they would marry. We have a “XX” in the village. Teen-age girls had a club there with a drama team. Participants were girls aged from 12 to 18. This group performed various plays based on social awareness, for instance- Prevention of child marriage, against drug addiction etc. Many girls and their families became aware due to these plays. Mainly due to this kind of steps females of this village can learn to take important decisions of their life.",quote
E.3     ,We believe that education is one of the most important aspects of life. Which is not possible without going to school. We think every child should be sent to school from the age of five and should be properly educated.,quote
E.3     ,We think it is required to gain knowledge and to keep pace with society. No one can achieve anything without education. An uneducated person cannot contribute to the welfare of the society. He cannot even improve himself. By improving himself we mean achieving the capacity to make all the major decisions of life.,quote
E.3     ,"An educated mother can ensure a safe and organized life for her family. Her attitude, style of conversation, manners everything will be different.",quote
E.4    ,Boys in our village generally studies up to HSC. After completion of HSC they try to get employed. They either run business or join somewhere as a service holder.,quote
E.4    ,And girls in our village study up to SSC. They are married off after that. Most of them do not get the chance to be enrolled in a college. Main reason behind this is poverty and unawareness of people.,quote
E.5    ,"We think that girls should study at least up to HSC. That way they will be able to take up jobs. There are job opportunities for HSC pass girls in our village, for example- World Vision, RDRS, BRAC etc. But without completing HSC a girl won’t even be able to do any job.",quote
E.5    ,I have something to say in this matter. I think what level of education a girl should have partly depends on her as well. If any girl is not willing to study then her parents usually marries her off. If a girl is willing to receive higher education and the family is financially solvent then her parents try to give her that chance.,quote
E.5    ,"We think that boys should marry at least up to Masters. They are usually allowed to do so. More or less every family gives preference to a boy’s education. Whereas a girl can get a job after completion of HSC, a boy should study up to Masters in order to get a better job.",quote
E.6    ,"No, parents do not show the same commitment to educating their daughters as their sons. They show completely different commitment. Parents emphasize on educating their sons more than their daughters. Because they think a boy is capable of earning money by means of education but a girl cannot do that. Even If a girl can earn money she will spend for her husband’s family. But a son will spend for his income for his own family. So educating daughters is not as fruitful as educating sons.",quote
E.6    ,Another important reason is that every family cannot afford to educate both of their children. So it has to be either son or daughter. They choose to educate their son instead of daughter because they need to spend money for daughter’s wedding anyway.,quote
,E.7    What different agricultural activities do [sex of FGD – but refer to either boys or girls]  learn about when they are young in this village?,quote
E.7    ,The different agricultural activities learned by girls of this village are-,quote
E.7    ,They learn to cultivate vegetables. That’s what maximum girls do here.,quote
E.7    ,"They learn to raise hen, duck, cattle, cow at home.",quote
