data_container,transcript,quote or transcriber's summary,
E.35,For Diana to go ahead and spend her inheritance without David’s support? 4 ,,
E.36    ,Diana should seek for approval by David otherwise David’s reputation as family head will be tarnished ,,
E.36    ,and it can backfire in near future. ,,
E.37    ,"David might consult Diana but usually not seek her approval, ",,
E.37    ,"if motorbike is his childhood dream, David can go ahead with Diana unaccepting to be angry for short term. ",,
E.37    ,For David to go ahead and spend his inheritance without Diana’s support? 2,Transcriber’s summary,
E.38    ,"Young woman can easily go to local market together with other woman regardless of age,",,
E.38    , but going alone is considered to be unacceptable. ,,
E.39   ,No big changes as she now needs approval by her husband or parents of husband. ,,
E.40    ,"It depends on woman, if she is smart she can do it easily.",,
E.41    ,Rating of 7. Most of women can move freely in public places in the village daytime.,Transcriber’s summary,
E.42    ,"Usually young women are not allowed to work in a city, living is OK if she studies there and has relatives to stay with. ",,
E.42    ,Job opportunities are also limited for young women as she will leave if parents demand her to be back in the village.,,
E.42    ,Young men are eager to migrate as it is only way to make enough money fast to be able to pay for a wedding and build own house.,,
E.43    ,Young men are expected to take any legal steps to make money,,
E.43    , even temporarily migration is OK.,,
E.43    ,Usually young men from our village goes in to construction and production jobs in cities and in Russia. ,,
E.43    ,There are many migration horror stories told on TV so parents usually do not allow their sons to migrate unless financially desperate. ,,
E.44    ,"Young men marry at ages of 21-23, young women – 19-21, ",,
E.44    ,only formal marriages are expected to happen.,,
E.44    ,"Only rich people can have 2 families, but not the case in our village.",,
E.45    ,It is up to young men and women who to marry and get approval/permission for such marriage.,,
E.46    ,"Young men and women will live their life together, ",,
E.46    ,"so it should be up to them,",,
E.46    , parents should help with marriage and wedding activities and housing. ,,
E.47    ,At age of 20-22.,,
E.48    ,"Yes, it is a good age both for mother and baby, not too early or too late. ",,
E.48    ,Mother might have a break for 3-4 years before give a birth of second child and Uzbek family should have at least one child within 1 year after marriage.,,
E.49    ,Age of 20-22 is best for woman to have her first child – she is not too tired with household activities and can postpone active job till her child is 3 years old.,,
E.50    ,Now young women start planning how many children to have as quality of children getting more important than number like in her parents’ generation.,,
E.50    ,She expresses her opinion to husband and usually husband is happy to have no more than 2 children now as he is not sure about financial future of his family.,,
E.51    ,"New good job places in new modern enterprises, kindergartens,",,
E.51    , otherwise active and smart young people plan to leave the village for cities for better opportunities.,,
E.51    ,"Mobile Internet helps for information exchange even with Russia so young men in migration can be in touch with families, but they need well paying jobs first to contribute to family prosperity and village development. ",,
E.51    ,"Young women can have better life with non-interrupted power, gas supply and pipeline water system so they can spend more time with children and taking care of themselves.",,
E.51    ,Many thanks for being so generous with your time today and for sharing your views and experiences.,,
