data_container,transcript,quote or transcriber's summary
E.24    ,"R5. No her husband will never allow her rather would do this for her. A woman can only consult with her husband, father or brother.",quote
E.24    ,R.1. Should need to consult with someone from the immediate family.,quote
E.24    ,"R.2.  Yes, he would consult agricultural officer, so that he as to reduces of losses.",quote
E.24    ,"R.3. Yes, he would consult the experienced farmers in the community.",quote
E.24    ,R 6. He can also tell his wife about the planting new crop.,quote
E.25    ,R.7. He will allow her to join the women group but this can be possible within the area and not outside of area.,quote
E.25    ,E.26    How do you think Adam would respond if Ana asks to sell her vegetables herself?,quote
E.25    , We do not allow our women to sell vegetables in the market. Men do it by their own.,quote
E.25    ,E.27    Do you think Adam will ask Ana for less help on his plot now that she is busier with her own activities?    ,quote
E.25    ,R.8. He might ask for a little from her.,quote
E.25    ,"R.2. No, we  never ask our ladies to work with us on the farming land.",quote
E.25    ,"R.5 Yes, my grandmother had worked in the fields with my grandfather, this is what I remember. Apart from that I have never seen women work in the fields with men.",quote
E.28     ,R1. It is not possible in our village.,quote
E.28     ,R.2. I know a widow who sells the milk in the market.,quote
E.28     ,R.3. Mostly men and young men sale items in the market. When a woman goes to a market alone she is not considered good women. Community people talk negative against her.,quote
E.29    ,"No, it is not possible in our area.",quote
E.30    ,No such woman involve in business in the area.,quote
E.31    ,R.6. there is no gender equality in Islam. In our community it is also not practices. A woman receive half share in property and man full share.,quote
E.31    ,"R.2. I personally believe that equality should be considered in education, nothing else.",quote
E.31    ,R.5.   There is equality of getting education in Islam for both man and woman.,quote
E.31    ,R.8. Gender equality is totally against islam and they should remain at home at all time.,quote
E.31    ,"R.7. in our Pukhtoon culture, a woman can never be equal to man.",quote
E.31    ,R.8. I consider it really bad as it can disturb the society.,quote
E.31    ,R.2. Gender inequality creates instability in the society,quote
E.31    ,R.5. Female education is must so that they can deal with women e.g. medical field etc.,quote
E.31    ,R.2.  Female education  is good because women doctors can do the treatment of women patients.,quote
E.31    ,R.3. Girls should be provided educational facilities in general,quote
E.31    ,"R.5. Needs equality in education sector, but it does not mean that woman is equal to man",quote
E.32,R.1. Women should be consulted that they should have knowledge about some affairs,quote
E.32,R.6. Should have mutual decision on the matters that how much money required for households and grains for their own use,quote
E.33    ,R.8.  Men would sell.,quote
E.33    ,R.2. Women have no power to decide and they can not sell it too.,quote
E.33    ,R.3.Women have not ideas how to sell vegetables.,quote
E.33    ,R.4. Women are not allowed to sell in market.,quote
E.33    ,R.5. this is man’s job not woman.,quote
E.34    ,"R.2= Yes , she will be allowed to do, but she will ask her husband to do practices this.",quote
E.34    ,R4. She might be allowed in case she does it in home and witht the intention to increase the production.,quote
E.35,Very easy …………………….….…1Easy………………………………..….2Neither easy nor difficult…… 3Difficult ………………………………4 (2)Very difficult……………………….5 (6),Transcriber’s summary
E.35,R.5= Very difficult,quote
E.35,R.1=  women cannot disagree with her husband’s  decision in such matter.,quote
E.35,"R.3= In our province, people do not allow their wives to do like this.",quote
E.35,R.8 = Women cannot do anything individually.,quote
E.36,Women cannot take such decisions,quote
